year,country,primary_energy_consumption,renewables_share_energy,population,gdp
2010,Iran,2421.595,1.196,75373864.0,1316410097664.0
2011,Iran,2529.514,1.191,76342968.0,1352440086528.0
2012,Iran,2558.024,1.373,77324448.0,1271703928832.0
2013,Iran,2647.917,1.53,78458928.0,1249348157440.0
2014,Iran,2756.672,1.45,79961672.0,1284499832832.0
2015,Iran,2745.521,1.316,81790848.0,1282580676608.0
2016,Iran,2878.794,1.452,83306232.0,1342488838144.0
2017,Iran,2986.091,1.574,84505080.0,1434521042944.0
2018,Iran,3087.446,0.929,85617560.0,1398995943424.0
2017,Iraq,597.89,0.994,39621156.0,516500586496.0
2018,Iraq,604.674,0.96,40590700.0,513592688640.0
1979,Ireland,103.786,2.353,3351902.0,44914946048.0
1980,Ireland,100.424,2.466,3391393.0,46301212672.0
1981,Ireland,97.991,2.597,3424834.0,47839154176.0
1982,Ireland,97.288,2.439,3451220.0,48932278272.0
1983,Ireland,95.877,2.403,3472904.0,48814223360.0
1984,Ireland,94.857,2.139,3490937.0,50941116416.0
1985,Ireland,99.538,2.488,3505781.0,52512358400.0
1986,Ireland,107.503,2.527,3515672.0,52286103552.0
1987,Ireland,108.719,1.866,3513702.0,54719774720.0
1988,Ireland,108.199,2.384,3498032.0,57578364928.0
1989,Ireland,111.472,1.851,3483316.0,60929429504.0
1990,Ireland,117.886,1.748,3485370.0,66087473152.0
1991,Ireland,122.462,1.801,3504806.0,67936149504.0
1992,Ireland,123.019,1.976,3528370.0,71167893504.0
1993,Ireland,125.626,1.836,3545700.0,73646604288.0
1994,Ireland,130.936,2.121,3559396.0,78875959296.0
1995,Ireland,133.621,1.613,3579486.0,87428767744.0
1996,Ireland,141.037,1.604,3606725.0,96464093184.0
1997,Ireland,145.73,1.655,3640157.0,108048252928.0
1998,Ireland,156.805,2.219,3678670.0,118272466944.0
1999,Ireland,165.537,2.021,3719918.0,132615405568.0
2000,Ireland,173.349,2.034,3768954.0,147422871552.0
2001,Ireland,183.168,1.661,3829019.0,158125555712.0
2002,Ireland,181.354,2.235,3894256.0,168846213120.0
2003,Ireland,176.855,1.88,3958706.0,177045291008.0
2004,Ireland,180.362,2.246,4031961.0,191105269760.0
2005,Ireland,188.174,2.879,4121220.0,204428607488.0
2006,Ireland,194.294,3.656,4234809.0,218886733824.0
2007,Ireland,197.324,4.154,4359841.0,229784272896.0
2008,Ireland,196.379,5.489,4452393.0,222239932416.0
2009,Ireland,176.612,7.055,4499797.0,214513696768.0
2010,Ireland,178.3,6.468,4524581.0,221367779328.0
2011,Ireland,170.262,9.5,4544504.0,223963938816.0
2012,Ireland,167.469,9.308,4564550.0,221943971840.0
2013,Ireland,164.997,10.138,4588830.0,225008336896.0
2014,Ireland,164.553,11.478,4622165.0,244831715328.0
2015,Ireland,173.913,13.121,4665764.0,254793482240.0
2016,Ireland,181.641,11.984,4715791.0,268695470080.0
2017,Ireland,182.408,14.194,4771860.0,290581577728.0
2018,Ireland,186.485,15.684,4834506.0,314321666048.0
1980,Israel,92.577,0.0,3744612.0,65435676672.0
1981,Israel,94.156,0.006,3816754.0,68815618048.0
1982,Israel,101.747,0.006,3892841.0,70049636352.0
1983,Israel,101.812,0.003,3979099.0,72521859072.0
1984,Israel,105.946,0.006,4077001.0,73171255296.0
1985,Israel,98.257,0.006,4182689.0,75693883392.0
1986,Israel,103.356,0.017,4295413.0,79316328448.0
1987,Israel,110.838,0.027,4412035.0,85032771584.0
1988,Israel,118.794,0.025,4535402.0,86737059840.0
1989,Israel,124.279,0.007,4666781.0,87503233024.0
1990,Israel,129.138,0.007,4803255.0,93268262912.0
1991,Israel,131.28,0.014,4942821.0,97249247232.0
1992,Israel,153.199,0.056,5079388.0,103872339968.0
1993,Israel,166.368,0.046,5213005.0,107432747008.0
1994,Israel,173.571,0.039,5346294.0,114590285824.0
1995,Israel,195.21,0.038,5478738.0,125242884096.0
1996,Israel,202.298,0.035,5612491.0,132362215424.0
1997,Israel,221.214,0.033,5743280.0,137269043200.0
1998,Israel,232.795,0.032,5869504.0,142513438720.0
1999,Israel,241.273,0.04,5994091.0,147072876544.0
2000,Israel,227.372,0.04,6116955.0,159558369280.0
2001,Israel,227.213,0.026,6237984.0,159187451904.0
2002,Israel,231.783,0.091,6356697.0,158357520384.0
2003,Israel,238.837,0.102,6475917.0,159601999872.0
2004,Israel,243.589,0.097,6595990.0,167111835648.0
2005,Israel,244.788,0.12,6714119.0,173480329216.0
2006,Israel,246.153,0.069,6832082.0,182781509632.0
2007,Israel,255.315,0.061,6952007.0,193502150656.0
2008,Israel,262.745,0.07,7074530.0,198668206080.0
2009,Israel,255.308,0.154,7199704.0,200768798720.0
2010,Israel,265.509,0.23,7328439.0,211431161856.0
2011,Israel,270.48,0.368,7459750.0,221407084544.0
2012,Israel,282.94,0.526,7592099.0,226681126912.0
2013,Israel,267.764,0.614,7726675.0,236605734912.0
2014,Israel,261.285,1.052,7863849.0,244088406016.0
2015,Israel,275.679,1.35,8007777.0,250204356608.0
2016,Israel,281.284,1.841,8159015.0,260228481024.0
2017,Israel,286.979,1.838,8309256.0,269531643904.0
2018,Israel,291.692,1.996,8456487.0,278806233088.0
1965,Italy,928.462,14.4,51452860.0,629615755264.0
1966,Italy,1008.304,13.79,51882568.0,662465740800.0
1967,Italy,1091.974,12.396,52294440.0,709741838336.0
1968,Italy,1179.984,11.592,52661072.0,768994508800.0
1969,Italy,1270.033,10.466,53001508.0,812977618944.0
1970,Italy,1402.124,9.408,53324036.0,831317737472.0
1971,Italy,1476.256,8.674,53636100.0,846968258560.0
1972,Italy,1548.182,8.623,53995428.0,871751811072.0
1973,Italy,1615.823,7.572,54379588.0,928806469632.0
1974,Italy,1615.333,7.703,54750684.0,972368773120.0
1975,Italy,1581.353,8.42,55093992.0,951557554176.0
1976,Italy,1668.908,7.617,55388904.0,1013301903360.0
1977,Italy,1674.358,9.69,55649672.0,1042645909504.0
1978,Italy,1715.524,8.499,55877016.0,1081497944064.0
1979,Italy,1769.165,8.32,56070680.0,1142855303168.0
1980,Italy,1723.793,8.439,56329480.0,1183161647104.0
1981,Italy,1687.626,8.14,56532908.0,1188868915200.0
1982,Italy,1654.092,8.033,56585840.0,1194202234880.0
1983,Italy,1619.34,8.177,56607516.0,1208770101248.0
1984,Italy,1644.551,8.237,56620236.0,1239849238528.0
1985,Italy,1636.66,7.919,56636468.0,1274693681152.0
1986,Italy,1681.007,7.745,56639056.0,1310891966464.0
1987,Italy,1731.074,7.285,56644528.0,1351528480768.0
1988,Italy,1773.739,7.32,56670880.0,1403769978880.0
1989,Italy,1824.944,6.04,56711524.0,1444197040128.0
1990,Italy,1854.886,5.544,56756560.0,1475485237248.0
1991,Italy,1913.132,7.02,56794488.0,1508723261440.0
1992,Italy,1905.329,7.082,56833184.0,1531922481152.0
1993,Italy,1865.054,7.148,56869456.0,1529549684736.0
1994,Italy,1860.836,7.646,56883820.0,1573413584896.0
1995,Italy,1936.397,6.312,56885124.0,1630198169600.0
1996,Italy,1935.798,7.042,56898972.0,1662791450624.0
1997,Italy,1969.284,6.921,56925808.0,1705185902592.0
1998,Italy,2014.581,6.806,56938736.0,1744897703936.0
1999,Italy,2071.383,7.313,56945064.0,1784528371712.0
2000,Italy,2099.285,7.156,56966400.0,1863750516736.0
2001,Italy,2097.537,7.609,56994992.0,1910079750144.0
2002,Italy,2083.352,6.778,57107576.0,1928259829760.0
2003,Italy,2149.784,6.339,57425176.0,1944748163072.0
2004,Italy,2197.52,7.22,57860664.0,1989364940800.0
2005,Italy,2200.25,6.434,58199876.0,2022361923584.0
2006,Italy,2190.067,6.73,58429904.0,2077408362496.0
2007,Italy,2148.299,6.432,58778480.0,2122822582272.0
2008,Italy,2111.905,8.195,59224228.0,2115287121920.0
2009,Italy,1971.705,10.586,59562844.0,2013344956416.0
2010,Italy,2036.733,11.431,59822452.0,2061694140416.0
2011,Italy,1997.912,12.443,60025952.0,2088117207040.0
2012,Italy,1943.877,14.166,60190152.0,2029244776448.0
2013,Italy,1858.6,17.611,60312600.0,1994213294080.0
2014,Italy,1762.32,19.74,60322792.0,1996478611456.0
2015,Italy,1814.766,17.51,60232908.0,2012113928192.0
2016,Italy,1821.932,17.232,60118628.0,2026955079680.0
2017,Italy,1843.121,16.371,60004024.0,2060761825280.0
2018,Italy,1853.64,17.727,59877432.0,2077209133056.0
1965,Japan,1823.564,12.335,99468752.0,935329857536.0
1966,Japan,2013.865,11.651,100466904.0,1034825498624.0
1967,Japan,2305.036,8.794,101527856.0,1149408116736.0
1968,Japan,2569.702,8.452,102819280.0,1297449615360.0
1969,Japan,2927.122,7.612,104102072.0,1459365609472.0
1970,Japan,3271.379,6.836,105416840.0,1615677620224.0
1971,Japan,3483.683,7.166,106789360.0,1691571322880.0
1972,Japan,3649.382,6.915,108220400.0,1833991405568.0
1973,Japan,4048.936,4.895,109679472.0,1981290119168.0
1974,Japan,4068.269,6.031,111100024.0,1957033279488.0
1975,Japan,3886.657,6.373,112411640.0,2017465073664.0
1976,Japan,4028.624,6.161,113624872.0,2097612062720.0
1977,Japan,4056.803,5.356,114761520.0,2189767606272.0
1978,Japan,4226.014,4.957,115809520.0,2305153040384.0
1979,Japan,4393.007,5.506,116765512.0,2431613140992.0
1980,Japan,4264.411,6.195,117624200.0,2500143611904.0
1981,Japan,4204.616,6.237,118385728.0,2579316867072.0
1982,Japan,4043.986,6.735,119098144.0,2658129674240.0
1983,Japan,4098.569,6.927,119793752.0,2719951093760.0
1984,Japan,4446.286,5.622,120470736.0,2826577117184.0
1985,Japan,4481.009,6.362,121119024.0,2950873743360.0
1986,Japan,4487.236,6.297,121710304.0,3036325871616.0
1987,Japan,4577.474,5.852,122268888.0,3162653589504.0
1988,Japan,4867.985,6.523,122798304.0,3358737825792.0
1989,Japan,5035.362,6.458,123270648.0,3520997621760.0
1990,Japan,5218.65,5.606,123686320.0,3699821510656.0
1991,Japan,5336.243,5.917,124073992.0,3824698523648.0
1992,Japan,5391.939,5.08,124444696.0,3855720120320.0
1993,Japan,5473.17,5.666,124779576.0,3861077295104.0
1994,Japan,5677.982,4.097,125119264.0,3898677133312.0
1995,Japan,5968.173,4.652,125433968.0,4003033513984.0
1996,Japan,6083.47,4.533,125726224.0,4124648144896.0
1997,Japan,6200.573,4.952,126027984.0,4166540853248.0
1998,Japan,6076.8,5.171,126308392.0,4117006909440.0
1999,Japan,6176.304,4.856,126555064.0,4104026587136.0
2000,Japan,6242.476,4.827,126803864.0,4215551819776.0
2001,Japan,6183.373,4.716,127065736.0,4230083772416.0
2002,Japan,6192.44,4.703,127301744.0,4232499429376.0
2003,Japan,6170.211,5.332,127502352.0,4294503825408.0
2004,Japan,6241.509,5.258,127671288.0,4386537340928.0
2005,Japan,6263.036,4.79,127798376.0,4456733736960.0
2006,Japan,6248.704,5.31,127902168.0,4517298438144.0
2007,Japan,6181.806,4.764,128006424.0,4589238091776.0
2008,Japan,6073.238,4.833,128077632.0,4536234147840.0
2009,Japan,5541.613,5.023,128117040.0,4287889670144.0
2010,Japan,5907.574,5.724,128105432.0,4464955621376.0
2011,Japan,5595.579,5.777,128007256.0,4456991162368.0
2012,Japan,5552.538,5.693,127853688.0,4523675353088.0
2013,Japan,5512.085,6.179,127678920.0,4614146490368.0
2014,Japan,5372.656,6.999,127476728.0,4629616132096.0
2015,Japan,5296.524,8.143,127250936.0,4685428162560.0
2016,Japan,5228.627,8.07,126993856.0,4732216672256.0
2017,Japan,5292.342,8.739,126662464.0,4844015321088.0
2018,Japan,5264.132,9.424,126255872.0,4867010592768.0
1985,Kazakhstan,796.027,1.936,15413315.0,182290350080.0
1986,Kazakhstan,814.251,1.737,15721289.0,184592269312.0
1987,Kazakhstan,832.595,2.036,16072474.0,183469473792.0
1988,Kazakhstan,862.957,2.396,16430588.0,198629916672.0
1989,Kazakhstan,849.496,2.538,16704995.0,197669306368.0
1990,Kazakhstan,859.425,2.534,16866574.0,194940977152.0
1991,Kazakhstan,858.537,2.48,16993796.0,174429519872.0
1992,Kazakhstan,847.475,2.396,17043420.0,166043893760.0
1993,Kazakhstan,748.154,3.015,16979700.0,151572676608.0
1994,Kazakhstan,666.421,4.073,16747153.0,133221818368.0
1995,Kazakhstan,598.716,4.115,16434323.0,122950926336.0
1996,Kazakhstan,521.202,4.159,16144248.0,124225961984.0
1997,Kazakhstan,459.578,4.182,15820435.0,127005614080.0
1998,Kazakhstan,433.003,4.194,15474257.0,125251796992.0
1999,Kazakhstan,406.961,4.456,15256256.0,129322688512.0
2000,Kazakhstan,369.747,6.023,15236256.0,142758051840.0
2001,Kazakhstan,416.192,5.704,15281288.0,162896068608.0
2002,Kazakhstan,423.944,6.12,15338962.0,179806994432.0
2003,Kazakhstan,464.691,5.383,15416709.0,197584060416.0
2004,Kazakhstan,493.803,4.702,15521921.0,217713229824.0
2005,Kazakhstan,507.509,4.432,15656255.0,240091856896.0
2006,Kazakhstan,546.162,4.047,15822751.0,267206115328.0
2007,Kazakhstan,605.149,3.818,16006138.0,292533534720.0
2008,Kazakhstan,638.147,3.285,16196521.0,303795863552.0
2009,Kazakhstan,572.664,3.355,16402365.0,309091467264.0
2010,Kazakhstan,614.388,3.624,16627839.0,333426884608.0
2011,Kazakhstan,697.246,3.119,16864920.0,360338718720.0
2012,Kazakhstan,733.17,2.857,17102868.0,378347749376.0
2013,Kazakhstan,736.464,2.863,17345734.0,401054334976.0
2014,Kazakhstan,773.146,2.9,17592296.0,418303442944.0
2015,Kazakhstan,642.193,3.962,17835908.0,423317831680.0
2016,Kazakhstan,721.457,4.448,18078558.0,427912429568.0
2017,Kazakhstan,776.676,3.99,18314822.0,445456809984.0
2018,Kazakhstan,803.081,3.593,18538100.0,463720546304.0
1985,Latvia,106.289,8.287,2655099.0,37201219584.0
1986,Latvia,98.769,8.984,2668865.0,38189518848.0
1987,Latvia,90.123,12.137,2681830.0,38039138304.0
1988,Latvia,85.057,10.432,2690475.0,39628009472.0
1989,Latvia,85.037,12.54,2693388.0,41772724224.0
1990,Latvia,86.466,15.376,2689398.0,42100703232.0
1991,Latvia,79.68,12.154,2678970.0,36517597184.0
1992,Latvia,57.035,13.07,2662885.0,24608100352.0
1993,Latvia,49.156,17.301,2638889.0,21636016128.0
1994,Latvia,47.623,20.521,2606464.0,21944829952.0
1995,Latvia,44.568,19.486,2570150.0,21646094336.0
1996,Latvia,41.465,13.271,2534288.0,21989048320.0
1997,Latvia,41.772,20.918,2498881.0,23781386240.0
1998,Latvia,45.462,28.086,2462333.0,25140078592.0
1999,Latvia,38.594,21.139,2426357.0,25600796672.0
2000,Latvia,37.754,22.118,2392536.0,26780788736.0
2001,Latvia,40.664,20.512,2359255.0,28293371904.0
2002,Latvia,41.022,17.688,2326150.0,30072958976.0
2003,Latvia,40.519,16.751,2294342.0,32361883648.0
2004,Latvia,45.556,20.242,2263453.0,34792599552.0
2005,Latvia,46.958,20.919,2233165.0,38221836288.0
2006,Latvia,44.543,17.916,2203917.0,42441265152.0
2007,Latvia,45.926,17.49,2176059.0,46307684352.0
2008,Latvia,46.243,19.6,2150411.0,44298825728.0
2009,Latvia,43.821,22.802,2126268.0,37661278208.0
2010,Latvia,49.67,20.997,2101537.0,35958493184.0
2011,Latvia,44.336,19.912,2076974.0,37962579968.0
2012,Latvia,45.963,25.26,2053635.0,39482474496.0
2013,Latvia,44.237,22.861,2031491.0,40519245824.0
2014,Latvia,40.747,19.858,2011040.0,41379799040.0
2015,Latvia,41.746,19.562,1991951.0,42500100096.0
2016,Latvia,44.499,22.236,1973477.0,43297222656.0
2017,Latvia,48.978,30.942,1954861.0,44937031680.0
2018,Latvia,43.564,23.443,1935632.0,46862479360.0
1985,Lithuania,180.693,0.644,3672853.0,47660892160.0
1986,Lithuania,166.729,0.682,3702823.0,49468977152.0
1987,Lithuania,174.668,0.613,3732010.0,50529333248.0
1988,Lithuania,183.32,0.62,3755543.0,54561832960.0
1989,Lithuania,198.573,0.573,3773181.0,54088605696.0
1990,Lithuania,201.91,0.606,3785851.0,51021991936.0
1991,Lithuania,213.451,0.468,3793430.0,48112087040.0
1992,Lithuania,130.766,0.703,3795748.0,37861879808.0
1993,Lithuania,102.269,1.136,3788532.0,31722383360.0
1994,Lithuania,88.253,1.514,3770461.0,28612204544.0
1995,Lithuania,98.638,1.118,3747269.0,30095167488.0
1996,Lithuania,107.354,0.898,3722023.0,31645790208.0
1997,Lithuania,98.989,0.881,3694897.0,34267160576.0
1998,Lithuania,106.158,1.162,3665514.0,36819656704.0
1999,Lithuania,87.819,1.394,3633949.0,36398338048.0
2000,Lithuania,78.034,1.286,3599639.0,37788340224.0
2001,Lithuania,91.266,1.055,3560145.0,40252133376.0
2002,Lithuania,97.401,1.072,3515799.0,42971131904.0
2003,Lithuania,102.134,0.945,3469683.0,47492665344.0
2004,Lithuania,102.863,1.21,3422593.0,50600710144.0
2005,Lithuania,93.843,1.445,3373536.0,54504800256.0
2006,Lithuania,89.617,1.643,3322937.0,58536325120.0
2007,Lithuania,98.104,2.323,3272416.0,65020497920.0
2008,Lithuania,97.133,2.503,3224384.0,66724208640.0
2009,Lithuania,90.034,2.831,3180482.0,56833646592.0
2010,Lithuania,65.757,4.735,3139021.0,57760002048.0
2011,Lithuania,68.498,5.338,3099800.0,61248360448.0
2012,Lithuania,68.601,5.895,3063340.0,63596855296.0
2013,Lithuania,63.406,7.896,3028191.0,65826070528.0
2014,Lithuania,61.163,8.228,2994928.0,68128043008.0
2015,Lithuania,63.925,8.653,2963764.0,69339054080.0
2016,Lithuania,65.15,9.966,2933676.0,70911025152.0
2017,Lithuania,68.647,11.26,2904452.0,73923043328.0
2018,Lithuania,70.799,10.193,2876128.0,76617523200.0
1965,Luxembourg,41.804,0.611,329793.0,5967663104.0
1966,Luxembourg,40.057,0.574,333135.0,6038157312.0
1967,Luxembourg,39.451,0.658,335567.0,6052326912.0
1968,Luxembourg,42.669,0.621,337057.0,6305567232.0
1969,Luxembourg,45.92,0.502,338287.0,6924149760.0
1970,Luxembourg,47.681,0.535,339354.0,7042269696.0
1971,Luxembourg,45.845,0.314,341980.0,7230460928.0
1972,Luxembourg,47.275,0.359,346083.0,7706997760.0
1973,Luxembourg,50.116,0.299,349199.0,8347719168.0
1974,Luxembourg,50.894,0.435,351397.0,8699790336.0
1975,Luxembourg,42.276,0.453,353675.0,8127705088.0
1976,Luxembourg,42.343,0.285,355900.0,8333324800.0
1977,Luxembourg,39.522,0.693,358272.0,8464074752.0
1978,Luxembourg,41.118,0.654,361075.0,8810255360.0
1979,Luxembourg,42.264,0.692,362940.0,9015468032.0
1980,Luxembourg,38.961,0.777,363745.0,9092144128.0
1981,Luxembourg,33.323,0.991,364484.0,9184694272.0
1982,Luxembourg,31.22,0.959,365027.0,9144778752.0
1983,Luxembourg,29.185,1.004,365448.0,9417148416.0
1984,Luxembourg,31.444,1.001,365787.0,10000324608.0
1985,Luxembourg,32.288,0.815,366471.0,10292481024.0
1986,Luxembourg,31.564,0.978,368179.0,11089389568.0
1987,Luxembourg,29.831,1.227,370536.0,11347894272.0
1988,Luxembourg,30.572,1.13,373436.0,12527435776.0
1989,Luxembourg,35.117,0.763,376960.0,13761264640.0
1990,Luxembourg,37.151,0.665,381275.0,14057150464.0
1991,Luxembourg,39.929,0.734,386405.0,15214076928.0
1992,Luxembourg,40.043,0.611,391524.0,15430616064.0
1993,Luxembourg,40.569,0.604,396705.0,16017019904.0
1994,Luxembourg,39.01,0.775,402049.0,16564453376.0
1995,Luxembourg,33.935,0.95,407639.0,16736430080.0
1996,Luxembourg,34.899,0.65,413202.0,16903203840.0
1997,Luxembourg,34.159,0.903,418413.0,17799362560.0
1998,Luxembourg,32.988,1.295,423579.0,18802137088.0
1999,Luxembourg,34.86,1.046,429352.0,20317839360.0
2000,Luxembourg,37.204,1.37,435634.0,21906683904.0
2001,Luxembourg,39.867,1.252,441254.0,22374428672.0
2002,Luxembourg,43.582,1.03,445920.0,23139020800.0
2003,Luxembourg,45.704,0.917,451351.0,23425226752.0
2004,Luxembourg,51.78,1.112,457798.0,24177319936.0
2005,Luxembourg,52.553,1.168,464868.0,24847697920.0
2006,Luxembourg,51.627,1.391,472402.0,26033442816.0
2007,Luxembourg,50.126,2.558,479877.0,28098930688.0
2008,Luxembourg,49.761,2.665,488643.0,27632140288.0
2009,Luxembourg,47.593,2.63,497876.0,26325504000.0
2010,Luxembourg,50.116,2.5,507075.0,27499366400.0
2011,Luxembourg,48.821,2.554,518207.0,28088633344.0
2012,Luxembourg,47.953,2.986,530596.0,27989147648.0
2013,Luxembourg,45.692,3.662,543068.0,29106192384.0
2014,Luxembourg,44.274,4.359,556075.0,30743879680.0
2015,Luxembourg,43.034,5.03,569415.0,31975024640.0
2016,Luxembourg,42.459,5.434,583355.0,33357813760.0
2017,Luxembourg,44.355,6.696,596290.0,33958649856.0
2018,Luxembourg,46.431,7.141,607920.0,35015057408.0
1970,Malaysia,44.263,8.03,10306509.0,36156456960.0
1971,Malaysia,49.442,6.256,10552565.0,38820380672.0
1972,Malaysia,55.072,6.196,10801631.0,41749893120.0
1973,Malaysia,58.027,5.646,11062667.0,47796125696.0
1974,Malaysia,58.828,5.057,11335200.0,51361124352.0
1975,Malaysia,60.674,4.898,11617957.0,51780284416.0
1976,Malaysia,67.75,4.138,11910081.0,58225278976.0
1977,Malaysia,79.25,2.869,12218924.0,62980902912.0
1978,Malaysia,105.269,2.539,12543894.0,68504293376.0
1979,Malaysia,121.07,2.695,12875017.0,74075578368.0
1980,Malaysia,126.612,3.29,13215709.0,80232407040.0
1981,Malaysia,130.891,3.527,13564596.0,85915672576.0
1982,Malaysia,140.161,3.17,13921034.0,91022696448.0
1983,Malaysia,160.962,3.213,14292864.0,96580485120.0
1984,Malaysia,173.472,5.883,14686459.0,104084234240.0
1985,Malaysia,171.884,6.483,15108141.0,103003217920.0
1986,Malaysia,188.659,6.459,15558747.0,104308424704.0
1987,Malaysia,194.529,7.548,16033107.0,109808533504.0
1988,Malaysia,204.603,8.28,16524616.0,119529209856.0
1989,Malaysia,228.992,6.837,17020144.0,130700369920.0
1990,Malaysia,240.986,4.941,17517060.0,143192113152.0
1991,Malaysia,301.866,4.358,18017470.0,157980852224.0
1992,Malaysia,340.554,3.721,18526708.0,173287833600.0
1993,Malaysia,342.515,4.19,19050074.0,191825428480.0
1994,Malaysia,363.737,5.27,19588706.0,211032850432.0
1995,Malaysia,397.951,4.62,20136886.0,233476947968.0
1996,Malaysia,444.273,3.45,20689060.0,258686615552.0
1997,Malaysia,515.451,2.394,21249178.0,279679762432.0
1998,Malaysia,495.441,2.66,21810542.0,260986650624.0
1999,Malaysia,529.429,4.218,22368652.0,279023157248.0
2000,Malaysia,611.257,3.682,22945152.0,305415979008.0
2001,Malaysia,625.815,3.14,23542522.0,309255241728.0
2002,Malaysia,659.175,2.594,24142448.0,328308785152.0
2003,Malaysia,714.156,2.253,24739420.0,349844013056.0
2004,Malaysia,771.64,2.32,25333250.0,376296144896.0
2005,Malaysia,835.079,2.286,25923540.0,397908672512.0
2006,Malaysia,843.833,2.377,26509416.0,423206289408.0
2007,Malaysia,900.057,2.181,27092604.0,453156765696.0
2008,Malaysia,932.623,2.678,27664304.0,478516183040.0
2009,Malaysia,903.049,2.629,28217208.0,474711556096.0
2010,Malaysia,932.974,2.33,28717728.0,514171994112.0
2011,Malaysia,949.202,2.888,29184140.0,545368309760.0
2012,Malaysia,1038.408,3.035,29660216.0,575191121920.0
2013,Malaysia,1086.738,3.52,30134806.0,602189201408.0
2014,Malaysia,1097.615,3.88,30606454.0,638408589312.0
2015,Malaysia,1114.688,4.051,31068834.0,670135287808.0
2016,Malaysia,1172.769,5.234,31526414.0,698530070528.0
2017,Malaysia,1188.313,6.662,31975812.0,738639609856.0
2018,Malaysia,1209.563,6.672,32399270.0,773658509312.0
1965,Mexico,293.325,8.935,42737996.0,258981937152.0
1966,Mexico,310.583,9.633,44180444.0,276900085760.0
1967,Mexico,316.549,10.291,45656964.0,294308773888.0
1968,Mexico,344.765,10.843,47170340.0,318504927232.0
1969,Mexico,378.427,10.475,48714396.0,338814337024.0
1970,Mexico,404.032,10.982,50289304.0,362723672064.0
1971,Mexico,424.829,10.143,51897680.0,376060510208.0
1972,Mexico,469.579,9.78,53543432.0,406222045184.0
1973,Mexico,506.47,9.648,55228200.0,437262843904.0
1974,Mexico,557.681,9.095,56945880.0,461217267712.0
1975,Mexico,595.583,7.784,58691880.0,486091816960.0
1976,Mexico,633.882,8.308,60452544.0,505910525952.0
1977,Mexico,668.705,8.738,62262508.0,521365323776.0
1978,Mexico,752.51,6.598,64124000.0,567422156800.0
1979,Mexico,832.041,6.747,65972908.0,621948436480.0
1980,Mexico,906.324,5.804,67705184.0,678622134272.0
1981,Mexico,1002.081,7.537,69233768.0,737336098816.0
1982,Mexico,1044.314,6.843,70656784.0,733602840576.0
1983,Mexico,1032.646,6.309,72080312.0,708391993344.0
1984,Mexico,1080.826,6.831,73489648.0,734058512384.0
1985,Mexico,1134.396,7.821,74872008.0,751167275008.0
1986,Mexico,1100.674,6.597,76224360.0,728181047296.0
1987,Mexico,1136.899,6.119,77553504.0,741613764608.0
1988,Mexico,1145.465,6.785,78892016.0,751820210176.0
1989,Mexico,1209.829,7.293,80233752.0,782981332992.0
1990,Mexico,1319.072,6.591,81720424.0,823577542656.0
1991,Mexico,1357.68,6.158,83351600.0,865148665856.0
1992,Mexico,1384.109,7.049,84993160.0,902108282880.0
1993,Mexico,1385.386,7.038,86648440.0,925343285248.0
1994,Mexico,1464.644,5.314,88314416.0,972991954944.0
1995,Mexico,1439.337,6.955,89969568.0,916478951424.0
1996,Mexico,1476.888,7.476,91586560.0,971219795968.0
1997,Mexico,1512.699,6.27,93183088.0,1045710700544.0
1998,Mexico,1574.172,5.741,94767288.0,1105636622336.0
1999,Mexico,1597.065,7.148,96334808.0,1156619567104.0
2000,Mexico,1693.276,6.909,97873448.0,1241194692608.0
2001,Mexico,1679.593,6.097,99394288.0,1251502718976.0
2002,Mexico,1720.058,5.278,100917080.0,1275458093056.0
2003,Mexico,1740.948,4.487,102429344.0,1306677477376.0
2004,Mexico,1843.091,5.094,103945816.0,1373060333568.0
2005,Mexico,2019.614,5.106,105442400.0,1427076808704.0
2006,Mexico,2049.177,5.299,106886792.0,1510627082240.0
2007,Mexico,2068.458,4.92,108302976.0,1572355440640.0
2008,Mexico,2153.523,6.208,109684496.0,1607400947712.0
2009,Mexico,2117.228,4.632,111049424.0,1543872708608.0
2010,Mexico,2123.579,6.029,112532400.0,1637760630784.0
2011,Mexico,2219.981,5.663,114150480.0,1716060815360.0
2012,Mexico,2239.852,5.237,115755912.0,1785373786112.0
2013,Mexico,2241.271,4.869,117290680.0,1810561761280.0
2014,Mexico,2227.508,6.484,118755888.0,1851266170880.0
2015,Mexico,2202.979,5.891,120149896.0,1899585208320.0
2016,Mexico,2252.842,5.911,121519224.0,1923887267840.0
2017,Mexico,2295.823,6.116,122839256.0,1964635193344.0
2018,Mexico,2265.69,6.611,124013864.0,2006599729152.0
1965,Morocco,17.761,20.195,13381884.0,31254994944.0
1966,Morocco,23.385,13.328,13738507.0,32995102720.0
1967,Morocco,24.64,11.185,14109759.0,34843127808.0
1968,Morocco,26.452,11.827,14490077.0,36768419840.0
1969,Morocco,29.009,13.944,14876983.0,38839439360.0
1970,Morocco,30.375,13.103,15274357.0,40982290432.0
1971,Morocco,32.28,13.924,15677305.0,43295739904.0
1972,Morocco,34.89,13.526,16081446.0,44317380608.0
1973,Morocco,38.756,9.095,16489462.0,45895618560.0
1974,Morocco,41.431,9.542,16902386.0,48382644224.0
1975,Morocco,42.11,7.134,17325328.0,51629449216.0
